index,group,calories,lipids,carbohydrates,protein,name
1796,22,282,31.98,11.91,11.74,PIZZA PEPPERONI MASA REGULAR
1797,22,275,30.04,11.86,11.97,PIZZA PEPPERONI PAPA JOHN'S MASA ORIGINAL
1798,22,280,31.55,11.38,12.86,PIZZA PEPPERONI PIZZA HUT MASA DELGADA
1799,22,298,30.49,14.21,11.97,PIZZA PEPPERONI PIZZA HUT MASA PAN
1800,22,266,33.33,9.69,11.39,PIZZA PROMEDIO (REBANADA)
1801,22,243,25.62,10.72,10.9,PIZZA SUPREMA PIZZA HUT MASA DELGADA
1802,22,240,26.69,10.21,10.27,PIZZA THE WORKS PAPA JOHN'S MASA ORIGINAL
1803,22,265,31,10,12.7,"PIZZA, ""BENEDETTI´S HAWAINA"" MEDIANA"
1804,22,313,31,13,13.9,"PIZZA, ""BENEDETTI´S MEDIANA CUATRO INGREDIENTES"""
1805,22,182,24,6,9,"PIZZA, ""LITTLE CAESARS 14´´HOT-N-READY HULA HAWAIIAN"" CON JAMÓN JULIANO"
1806,22,201,21,9,9,"PIZZA, ""LITTLE CAESARS 14´´HOT-N-READY SUPREMA"""
1807,22,247,27,11,10,"PIZZA, ""LITTLE CAESARS PIZZA 14´´HOT-N-READY PEPPERONI DEEP DISH"""
1808,22,244,23,12,11,"PIZZA, ""LITTLE CAESARS PIZZA 14´´HOT-N-READY THREE MEAT TREAT"""
1809,22,228,26,9,10,"PIZZA, ""LITTLE CAESARS PIZZA 14´´HOT-N-READY"" CON PEPPERONI"
1810,22,212,27,7,10,"PIZZA, ""LITTLE CAESARS PIZZA 14´´HOT-N-READY"" QUESO"
1811,22,116.33,13.94,4.24,5.4,"SUSHI (TODOS SABORES), PREPARACION ESTANDARIZADA"
